Unnamed: 0	questionID	questionTitle	questionText	questionLink	topic	therapistInfo	therapistURL	answerText	upvotes	views	split
0	0	Can I change my feeling of being worthless to everyone	"Im going through some things with my feelings and myself I barely sleep and I do nothing but think about how Im worthless and how I shouldnt be here
   Ive never tried or contemplated suicide Ive always wanted to fix my issues but I never get around to it
   How can I change my feeling of being worthless to everyone"	httpscounselchatcomquestionscanichangemyfeelingofbeingworthlesstoeveryone	depression	Sherry Katz LCSWCouples and Family Therapist LCSW	httpscounselchatcomtherapistssherrykatzlcsw	If everyone thinks youre worthless then maybe you need to find new people to hang out withSeriously the social context in which a person lives is a big influence in selfesteemOtherwise you can go round and round trying to understand why youre not worthless then go back to the same crowd and be knocked down againThere are many inspirational messages you can find in social media Maybe read some of the ones which state that no person is worthless and that everyone has a good purpose to their lifeAlso since our culture is so saturated with the belief that if someone doesnt feel good about themselves that this is somehow terribleBad feelings are part of living They are the motivation to remove ourselves from situations and relationships which do us more harm than goodBad feelings do feel terrible  Your feeling of worthlessness may be good in the sense of motivating you to find out that you are much better than your feelings today	1	2899	train
1	0	Can I change my feeling of being worthless to everyone	"Im going through some things with my feelings and myself I barely sleep and I do nothing but think about how Im worthless and how I shouldnt be here
   Ive never tried or contemplated suicide Ive always wanted to fix my issues but I never get around to it
   How can I change my feeling of being worthless to everyone"	httpscounselchatcomquestionscanichangemyfeelingofbeingworthlesstoeveryone	depression	Robin Landwehr DBH LPCC NCCMental Health in a Primary Care Setting	httpscounselchatcomtherapistsrobinlandwehrdbhlpccncc	Hello and thank you for your question and seeking advice on this Feelings of worthlessness is unfortunately common In fact most people if not all have felt this to some degree at some point in their life You are not aloneChanging our feelings is like changing our thoughts  its hard to do Our minds are so amazing that the minute you change your thought another one can be right there to take its place Without your permission another thought can just pop in there The new thought may feel worse than the last one My guess is that you have tried several things to improve this on your own even before reaching out on here People often try thinking positive thoughts debating with their thoughts or simply telling themselves that they need to snap out of it  which is also a thought that carries some selfcriticismSome people try a different approach and there are counselors out there that can help you with this The idea is that instead of trying to change the thoughts you change how you respond to them You learn skills that allow you to manage difficult thoughts and feelings differently so they dont have the same impact on you that they do right now For some people they actually DO begin to experience less hurtful thoughts once they learn how to manage the ones they have differently Acceptance and Commitment Therapy may be a good choice for youThere is information online and even selfhelp books that you can use to teach you the skills that I mentioned Because they are skills they require practice but many people have found great relief and an enriched life by learning themAs for suicidal thoughts I am very glad to read that this has not happened to you Still you should watch out for this because it can be a sign of a worsening depression If you begin to think about this it is important to reach out to a support system right away The National Suicide Prevention Lifeline is 18002738255 The text line is 741741I hope some other colleagues will provide you more suggestionsBe wellRobin Landwehr DBH LPCC	1	3514	train
2	0	Can I change my feeling of being worthless to everyone	"Im going through some things with my feelings and myself I barely sleep and I do nothing but think about how Im worthless and how I shouldnt be here
   Ive never tried or contemplated suicide Ive always wanted to fix my issues but I never get around to it
   How can I change my feeling of being worthless to everyone"	httpscounselchatcomquestionscanichangemyfeelingofbeingworthlesstoeveryone	depression	Lee KingI use an integrative approach to treatment and have an online therapy practice	httpscounselchatcomtherapistsleeking	First thing Id suggest is getting the sleep you need or it will impact how you think and feel Id look at finding what is going well in your life and what you can be grateful for I believe everyone has talents and wants to find their purpose in life I think you can figure it out with some help	0	5	train
3	0	Can I change my feeling of being worthless to everyone	"Im going through some things with my feelings and myself I barely sleep and I do nothing but think about how Im worthless and how I shouldnt be here
   Ive never tried or contemplated suicide Ive always wanted to fix my issues but I never get around to it
   How can I change my feeling of being worthless to everyone"	httpscounselchatcomquestionscanichangemyfeelingofbeingworthlesstoeveryone	depression	Shauntai DavisYearginPersonalized private online counseling for individuals and couples	httpscounselchatcomtherapistsshauntaidavisyeargin	Therapy is essential for those that are feeling depressed and worthless When I work with those that are experiencing concerns related to feeling of depression and issues with self esteem I generally work with my client to help build coping skills to reduce level of depression and to assist with strengthening self esteem by guiding my client with CBT practices CBT helps with gaining a better awareness of how your thought process influences yourbelief system and how your beliefs impact your actions and the outcome of your behaviors This process isnt easy but it helps teach an individual that we dont always have control over what happens in our lives but we can control how we interpret feel and behave CBT is good for individuals dealing with depression anxiety toxic relationships stress self esteem codependency etc	0	31	train
4	0	Can I change my feeling of being worthless to everyone	"Im going through some things with my feelings and myself I barely sleep and I do nothing but think about how Im worthless and how I shouldnt be here
   Ive never tried or contemplated suicide Ive always wanted to fix my issues but I never get around to it
   How can I change my feeling of being worthless to everyone"	httpscounselchatcomquestionscanichangemyfeelingofbeingworthlesstoeveryone	depression	Jordan WhiteLicensed Social Worker at Oak Roots Dynamic	httpscounselchatcomtherapistsjordanwhite	I first want to let you know that you are not alone in your feelings and there is always someone there to help You can always change your feelings and change your way of thinking by being open to trying to change You can always make yourself available to learning new things or volunteering so that you can make a purpose for yourself	0	620	train
5	0	Can I change my feeling of being worthless to everyone	"Im going through some things with my feelings and myself I barely sleep and I do nothing but think about how Im worthless and how I shouldnt be here
   Ive never tried or contemplated suicide Ive always wanted to fix my issues but I never get around to it
   How can I change my feeling of being worthless to everyone"	httpscounselchatcomquestionscanichangemyfeelingofbeingworthlesstoeveryone	depression	Dr Timothy Paulman Online  Natural Health Consultant and Coach	httpscounselchatcomtherapistsdrtimothypaul	Heck sure thing hunFeelings of depression have a deeplyrooted base in physical structures that may not be functioning very well at present and we can certainly turn them on again using means that you are able to find around the house and with relative ease After that emotional and spiritual support will be liberally applied	0	18	train
6	0	Can I change my feeling of being worthless to everyone	"Im going through some things with my feelings and myself I barely sleep and I do nothing but think about how Im worthless and how I shouldnt be here
   Ive never tried or contemplated suicide Ive always wanted to fix my issues but I never get around to it
   How can I change my feeling of being worthless to everyone"	httpscounselchatcomquestionscanichangemyfeelingofbeingworthlesstoeveryone	depression	Susan HaberkornOnline Christian Counseling for Women	httpscounselchatcomtherapistssusanhaberkorn	You are exhibiting some specific traits of a particular temperament type Seek out a counselor who provides NCCA temperament therapy and discover the joy of being you  God loves you as you are	0	32	train
7	0	Can I change my feeling of being worthless to everyone	"Im going through some things with my feelings and myself I barely sleep and I do nothing but think about how Im worthless and how I shouldnt be here
   Ive never tried or contemplated suicide Ive always wanted to fix my issues but I never get around to it
   How can I change my feeling of being worthless to everyone"	httpscounselchatcomquestionscanichangemyfeelingofbeingworthlesstoeveryone	depression	Jennifer GerlachYour Story Matters	httpscounselchatcomtherapistsjennifergerlach	That is intense Depression is a liar Sometimes depression places these glasses over our eyes these dark sunglasses that change how we see thingsDepression tells us things like youre worthless no one likes you dont worry about doing anything And it is so easy for us to listen and to be tricked into thinking that just because we feel something means it is true Please know that even if you are feeling worthless right now that doesnt mean you are worthlessThe first step to working through this is recognizing what is going on Recognizing when depression is telling you the same story ie being worthless with different words ie worthless here worthless there and making an effort to talk backWhile I can not give you a diagnosis of depression reading what you are going through it sounds like you might need help to get back on track Seeing a counselor can open an entirely new option up wherein someone who is not involved in your life can help you without judgement and with an objective perspective This can do wonders in unwrapping these kinds of thoughts Wishing you the absolute best	0	20	train
8	0	Can I change my feeling of being worthless to everyone	"Im going through some things with my feelings and myself I barely sleep and I do nothing but think about how Im worthless and how I shouldnt be here
   Ive never tried or contemplated suicide Ive always wanted to fix my issues but I never get around to it
   How can I change my feeling of being worthless to everyone"	httpscounselchatcomquestionscanichangemyfeelingofbeingworthlesstoeveryone	depression	Christina McGrath FairEnlightenment is when a wave realizes it is the ocean Thich Nhat Hanh	httpscounselchatcomtherapistschristinamcgrathfair	It sounds like you may be putting yourself last You wrote that you want to fix your issues but never get around to it I wonder how you are spending your mental and physical energy Are you spending time taking care of and doing for others I also wonder where the thoughts and feelings of being worthless are coming from  are you around people who treat you poorly or are hurtful Or do you feel it is more of a worry you have but arent really sure how others feel It may be helpful to talk to someone about your feelings  a counselor perhaps  to clarify your feelings and move forward from se that are hurting you	0	33	train
9	0	Can I change my feeling of being worthless to everyone	"Im going through some things with my feelings and myself I barely sleep and I do nothing but think about how Im worthless and how I shouldnt be here
   Ive never tried or contemplated suicide Ive always wanted to fix my issues but I never get around to it
   How can I change my feeling of being worthless to everyone"	httpscounselchatcomquestionscanichangemyfeelingofbeingworthlesstoeveryone	depression	Michael SamarIntegrative Psychotherapist and Mindfulness Coach	httpscounselchatcomtherapistsmichaelsamar	It must be really difficult to experience what your going through right now It takes a lot of courage to reach out It sounds like you want to get better but perhaps need some help to get over the hump Many of the symptoms you have described are consistent with a person who is dealing with depression  Depression is a treatable condition Typically if these symptoms have persisted for more than two weeks then it is a good idea to seek professional help  Someone who is trained in dealing with depression Initially a comprehensive assessment would be completed to rule out any other causes for your symptoms and to determine the exact nature of your presenting concern Then in collaboration with one another a tailored treatment plan would be developed focusing on how to best help you reach your goals The good news is that their is hope for getting better You dont have to do it alone Allow me to be your ally in healing	0	37	train
