questionID	questionTitle	questionText	questionUrl	topics	therapistName	therapistUrl	answerText	upvotes
5566fab2a64752d71ec3ca69	Escalating disagreements between mother and wife	"My wife and mother are having tense disagreements In the past theyve had minor differences For example my wife would complain to me my mother is too overbearing my mother would complain my wife is lazy
However its intensified lately I think the cause is my wife talked back to her once Now any little disagreement is magnified leading to major disagreements What can I do"	httpscounselchatcomquestionsescalatingdisagreementsbetweenmotherandwife	Family Conflict	Kristi KingMorgan LMSW	httpscounselchatcomtherapistskristikingmorganlmsw	What you are describing is something psychologists have termed triangulation which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead You have been triangulated by your wife and motherThis is often seen in families Its seen everywhere How many times have you had a problem with someone but you didnt go to them to tell them you went to someone else to complain It is usually difficult for a person to confront another especially in relationships where there is a power differential For example I bet its easier to complain to a coworker about your boss rather than go to the boss with your complaintIm not saying triangulation is always a bad thing Sometimes a third party mediator is needed to help solve problems between two people who disagree Thats what therapists do every day Sometimes just getting someone elses perspective can help you see the issue clearer However in your situation it sounds like this is becoming a problem You are stuck in the middle between two people that love you and that you loveIf you want to put a stop to this triangulation you will need to encourage the two of them to talk to each other and work out their differences Perhaps it was a simple misunderstanding that some open communication can clear up Even if they really dont like each other and cant get along your relationship with the both of them is going to continue to deteriorate the longer you are stuck in the middleTry to understand what might be the feelings behind their behavior It is possible that they may both feel threatened by the other These are the two most important women in your life and they both know it Your mother may be afraid that she will lose you if she confronts your wife I heard one motherinlaw describe her sons wife as the gateway to her son The wife has the power to dictate when and how often the mother gets to see her son The wife also is the gateway to the grandchildren If your wife doesnt like her motherinlaw she can severely hamper or damage her motherinlaws relationship with you and any children you two may have From your wifes viewpoint this is the woman that she may feel like she can never live up to If you regularly praise your moms cooking her housework gardening or anything else your wife may feel that you are putting down her own efforts in these areas and can feel unappreciated This can be especially difficult if your wife and mother are nothing alike I am not saying that this is the case with your familys situation These are just a few examples from other families in a similar situation as yoursRegardless of what the cause is if this dysfunctional pattern is allowed to continue your mom and your wife will begin to get upset with you when you dont agree with them They will get upset if you dont align yourself with them against the other They will be offended when it seems like you are choosing the other ones side or that you are not standing up for them like they think you should In worst cases if it continues to escalate you may even find yourself in the impossible position of having to choose between your wife and your mother which may mean cutting off contact with the other ending that relationship Change the dynamics before it spirals even further	0
5566f94fa64752d71ec3ca64	Im addicted to smoking How can I stop	"Im planning to have baby so I have to quit smoking  but its hard Sometimes its not a physical need its mental

I cannot help myself from thinking about smoking What can I do to get rid of this addiction"	httpscounselchatcomquestionsimaddictedtosmokinghowcanistop	Substance AbuseAddiction	Rebecca Duellman	httpscounselchatcomtherapistsrebeccaduellman	Hi Good for you in planning ahead to do whats healthiest for your baby and yourself Thats a great first step Its also good that you are able to identify that its not always a physical need thats driving the addictionFor the next steps I would suggest trying to figure out when the psychological cravings for a cigarette occur The psychological or mental cravings are usually based out of habit such as having a cigarette after a meal And if youre consciously trying to quit youll find the craving starts with simply thinking about having a cigarette then usually moves on to thinking about how good it made you feel etc etc Well if Im on a diet and I continue to let myself think about the ice cream sitting in the freezer eventually Ill give in and eat itYoure going to have thoughts about smoking a cigarette Thats normal and for the most part out of your control But you choose whether or not to CONTINUE thinking and dwelling about it after that initial thought Thats what you would have to work on changing When you have that initial thought acknowledge it Ok I kind of want a cigarette now but then change the thoughts that typically follow Distract yourself think about something else do something else whatever it takes to get your mind off of that cigaretteIve suggested to clients before that they should plan these scenarios out ahead of time so they already know what theyre going to do when the time comes Write down when you usually have the craving for a cigarette and then write down new thoughts or things to do to get your mind off of it Eventually it will become easier and easier to brush off that initial thought until you no longer have itBest of luck and you have a really great motivator to quit  your baby	0
5567d26887a1cc0c3f3d8f46	Keeping secrets from my family	"I have secrets in my mind and I dont know what to do with them I dont want to tell my wife and mom because I dont want to hurt them But Im not sure how long that I can keep the secret to myself

What should I do Its becoming annoying and making me anxious Help me out"	httpscounselchatcomquestionskeepingsecretsfrommyfamily	Family Conflict	Jeevna Bajaj	httpscounselchatcomtherapistsjeevnabajaj	It sounds like keeping the secrets has become a problem for you now There are several things to consider before you make a decision You mentioned that you dont want your wife and mom to know because you dont want to hurt them  why would it hurt them Is it necessary for them to know this information What are the consequences of either telling them the truth or not telling them for you and for your wife and mom Once you have considered these think of what you would tell your friend if they were in your exact situation Also if your wife or mom were in your situation right now what do you think they would do themselves If your wife and mom were in this situation how would you feel Would you want to know the secrets How has keeping these secrets affected your own mental and physical healthOnce you have looked at the problem from all angles you will be able to better make a decision on whether it is right to tell them or not	0
556bed15c969ba5861709df5	The Underlying Causes of Being Possessive	I am extremely possessive in my relationships and this is hurting my friendships How can I fix my underlying issues	httpscounselchatcomquestionstheunderlyingcausesofbeingpossessive	Behavioral ChangeSocial Relationships	Rebecca Duellman	httpscounselchatcomtherapistsrebeccaduellman	Hi there Its great you are able to realize there are other issues going on with someone who feels possessive At the root of it is fear Fear of losing someone fear of being alone fear of not being good enough All those fears can lead to low selfesteem and feeling like you have to control other people so you dont lose them The thing is controlling other people only pushes them away Vicious circle rightWhat I would suggest is some cognitive therapy to change those underlying ways of thinking You can start with this assignment Write down all the things you think about yourself positive and notsopositive Then rewrite those notsopositive things so they are positive For example thinking something like Im too pushy can be rewritten as Im assertive and I go after what I want It can be hard to do since we tend to get stuck in our negative ways of thinking about ourselves If you have someone you trust you can ask for their help as well since most likely they see you differently than you see yourselfFinding a good cognitive therapist can help you further but if thats not an option for you right now there are lots of selfhelp books and websites that are out there Youve already taken the first step so keep moving forward	0
556ba115c969ba5861709de6	Can I control anxiety without medication	I had a head injury a few years ago and my mind races all the time I have trouble sleeping and have a lot of anxiety Every medicine I have been on my body rejects I get sick to my stomach and get blisters in my mouth How can I calm my self down Im a wreck	httpscounselchatcomquestionscanicontrolanxietywithoutmedication	Anxiety	Rebecca Duellman	httpscounselchatcomtherapistsrebeccaduellman	You didnt say what or how many medications youve tried Certain anxiety medications can make you feel nauseous but I havent heard of any that cause mouth blisters so there may be some other underlying medical issue there I would definitely talk to your primary care physician and whoever has prescribed the medication as well as a neurologist if youve suffered a severe head injury There are so many medications available for anxiety or insomnia or even depression that there may be others with lesser side effectsBut beyond that have you tried any other treatments such as deep breathing or meditation Meditation can be very effective but it takes practice and you dont have to sit crosslegged for hours chanting Ohm to meditate Its about focusing on your breath rather than all the thoughts that are racing through your head And when they do take your mind off your breath simply refocus and refocus and refocus Like I said it takes practice so dont give up You can find many sites offering different ways to meditate so look around and see what works best for you Like medication you just have to find the one that works best and that might take some experimentationI hope this helps and best of luck to you	0
556b6940c969ba5861709de4	How do I break an unhealthy relationship pattern	"I want a secure relationship with someone that wants to be with me and who will actually put effort into it
I seem to gravitate toward unavailable men and those that want intimacy and no relationship I let men dictate and control me because they accuse me of being controlling I let men emotionally abuse me and I am at their beck and call
I am not comfortable being alone or doing anything by myself I feel I need the security of someone being around just to survive I know what Im doing wrong and I do it anyway just hoping things will change How do I stop this behavior and thought process"	httpscounselchatcomquestionshowdoibreakanunhealthyrelationshippattern	Relationship Dissolution 	Kristi KingMorgan LMSW	httpscounselchatcomtherapistskristikingmorganlmsw	It is a good thing that you have recognized that you have been in some unhealthy relationships and that you are wanting to break this pattern  You seem to have some good insight into the situationThe type of behavior that you are describing is usually rooted in childhood issues with insecure attachment bonds with your caregivers childhood trauma andor abuse or neglect or dysfunctional family issues that did not allow you to develop healthy boundaries for yourself or a sense of self  This is something that is going to take some time to work through in therapy  I recommend a book titled Boundaries Where you end and I begin by Anne Katherine  Another book that might be helpful is Codependent No More by Melody BeattieIn the meantime until you can work through your personal issues absolutely do not enter into another relationship  Take however long you need to and work on becoming a whole happy emotionally healthy person on your own  Needing another person to define you is problematic  Thats too much to expect from any individualFor a relationship to be healthy and happy both people in the relationship first need to be a whole person on their own  That means having a clear sense of self knowing who you are and what you want knowing how to set healthy boundaries and knowing how to meet your own needs  It is unreasonable to expect your partner to meet all of your needs all of the time  There will be times that they wont be able to meet your needs  You have to know how to meet those yourselfWhen you are working on becoming the best you that you can be eventually the right person will come into your life  Then you can CHOOSE to be with someone because you want them in your life instead of feeling like you NEED them to complete you	0
556bec8cc969ba5861709df3	I have anger issues I am extremely explosive about the simplest things	I easily recognize this but have no control over it and need suggestions for managing my anger	httpscounselchatcomquestionsihaveangerissuesiamextremelyexplosiveaboutthesimplestthings	Anger Management	Kristi KingMorgan LMSW	httpscounselchatcomtherapistskristikingmorganlmsw	I suggest that you work on emotional awarenessEmotional awareness basically means knowing what you are feeling and whyEmotional awareness also means that you can identify the link between the way you are feeling and your actions In other words knowing that your feelings dictate what you doOften feelings of hurt or insecurity can come out as anger if we cannot properly identify and express the feelingsBeing emotionally aware also means that you are able to express your feelings to others  Being unable to do so leads to feelings of frustration and being misunderstoodMany people for many different reasons are not in touch with their emotions  For example men traditionally have been brought up taught to not express sadness or weakness  Therefore many men learned to turn feelings of sadness insecurities or fears into anger and express these feelings as anger  Being taught not to feel a certain emotion does not make that emotion disappear  Instead it makes us learn how to express it in other incorrect ways  If a man never learns to say I am sad or that really hurt my feelings and instead lashes out in anger then the response they get from those around them will be to the anger and not a response to the underlying true feeling which will leave the man feeling alone and misunderstoodYou can control yourself and not explode  Walk away remove yourself from the situation do whatever you have to do to not lash out  Instead of reacting the way you normally would go somewhere by yourself and think about what just happened and try to understand why such a simple thing upset you  What is the real feeling driving these outbursts  Maybe you can begin to recognize an underlying patternIt might help to keep an anger journal  Write down everything that gets you upset  That might help you see a pattern and pinpoint what may be setting you off  Talking with a therapist about this would be beneficial in helping pinpoint the underlying cause of the outbursts you are experience	0
5566f9a2a64752d71ec3ca67	Ive suffered from insomnia and nightmares for about 3 years	"It takes me a long time to fall asleep Id estimate about two hours I often have nightmares starting with being eaten by a monster and I often wake up frightened and unable to breathe

I believe I started losing sleep after breaking up with a girlfriend of 8 years Also my fathers business went bankrupt and my mother has a chronic condition I was under a lot of stress and life lost meaning

After improving my life and developing a habit of running and exercise to release stress my symptoms improved However in the past couple months I started losing sleep again and having nightmares without warning How can I solve this issue"	httpscounselchatcomquestionsivesufferedfrominsomniaandnightmaresforabout3years	Sleep Improvement	Danielle Alvarez	httpscounselchatcomtherapistsdaniellealvarez	First of all exercise is always beneficial for your physical and emotional health Thats great that you have added this in your routine Have you also considered altering your diet Certain foods are linked with poor sleep For example alcohol caffeine nicotine and high fat content foods do not bode well with quality sleep especially right before bed timeOn the other hand warm milk and foods high in carbohydrates have actually shown to positively impact sleepAdditionally at bed time its important to keep your room dim cool and without distractions ie TV IPad Phone Stick to a sleep routine and avoid any activities close to bed time that demand a lot of attention and energyAs far as your nightmares there could be many causes contributing to them Certain foods many of the ones mentioned or medications could be the culprit Doing a bit of research into the ones you are consuming may help you eliminate the offenderYou may also benefit from talk therapy with a qualified therapist to discuss any underlying issues you are experiencing Oftentimes depression and anxiety can manifest themselves during sleep causing nightmaresFinally Yoga has shown to be very beneficial for quality sleep There are many instructional videos available that can introduce you to the practice if youd rather not join a class right awayBest of luck to you and I sincerely hope you are able to catch up on some well deserved Zs	0
5570b7fea03de6c365f45ba1	Unethical Therapy Practices	What do you do when a therapist and a parent drugs a child and makes up lies in order to stop the other parents custody visitation	httpscounselchatcomquestionsunethicaltherapypractices	Professional EthicsLegal  Regulatory	Kristi KingMorgan LMSW	httpscounselchatcomtherapistskristikingmorganlmsw	I will admit I am confused about this question  Are you the other parent in question or a concerned coworker of this therapistTherapists do not prescribe or have access to medication  Most therapists wont even get involved in a custody battle  They know there is a good chance of their records ending up in court and that they themselves will have to testify in court  Of course therapists are human and can make mistakes but I find it highly unlikely that a therapist would knowingly and willingly do something like this that is such a major ethical violation  Not only are they losing their license to practice by doing this they are going to face criminal charges and jail time  If their clinical judgment is that the other parent is a danger to the child they dont have to resort to illegal means to try to prove thisIf you have concrete proof that this has happened then there is a process in which you can file a report against the therapist with their licensure board  Every therapist is licensed in their state  There are different types of licensures so you would need to know this therapists licensureMost accusations from the other parent are expected in a custody situation because people do tend to get quite ugly  Dont accuse the therapist or the parent of anything just to try to make yourself look better and them look bad  Have evidence of wrongdoing before accusing them of this  If this has really happened then of course it needs to be reported but dont try to ruin someones career unless you are sure this occurred	0
556bf606c969ba5861709df8	My friends accusing me of having problems	Theyre calling me names like hypocrite and a baby even when they act in the same manner as I do Im tired of being called names What should I do	httpscounselchatcomquestionsmyfriendsaccusingmeofhavingproblems	Social Relationships	Danielle Alvarez	httpscounselchatcomtherapistsdaniellealvarez	It sounds like your confused as to why your friends would be calling you a hypocrite when they act in the same manner correct Communication is key to any relationship I would recommend speaking with your friends facetoface to address why they feel your behavior is concerningInperson contact is the best method of sorting out differences considering texts emails or any written response can be misconstrued Be upfront with them and let them know that being accused of hypocrisy is hurtful and you feel it is unfounded If after speaking with them you feel that they have valid reasons for the way they are feeling maybe you can consider modifying your behavior accordingly Especially if this friendship is valuable to you However make sure they are aware that there is a respectful way to address these issues and name calling is not one of themOn the other hand if you feel that their reasons are indeed unfounded it may be best to distance yourself from the relationship Not all friendships are healthy ones And it is important that you surround yourself with people who are an asset to your self esteem as opposed to those that hinder itI hope you are able to get this matter sorted Best of luck	0
